Title="AUS00801_IN0_Central_1D_withDiameter"
Vertex = "x","y","z","bpName"
Link = "bp0","bp1", "id","generation","length","diameter", "name","InArea","OutArea","InPeri","OutPeri"
N=326, E=325
        197.096         185.736           195.5 unnamed
        216.976         168.128             201 unnamed
        222.088         172.672           197.5 unnamed
        212.432          176.08             202 unnamed
        206.184         171.536             196 unnamed
        207.888           198.8           183.5 unnamed
        206.752         199.368             186 unnamed
        193.688          193.12             200 unnamed
        196.528         196.528             201 unnamed
        202.208          190.28           204.5 unnamed
        197.096         186.304             208 unnamed
        216.408         168.128           202.5 unnamed
         218.68         166.992           202.5 unnamed
        211.864         177.784             202 unnamed
        216.976         177.216             208 unnamed
        203.344         196.528             210 unnamed
        203.912         191.984             207 unnamed
        229.472         163.584           212.5 unnamed
        217.544         165.288           203.5 unnamed
        203.344         195.392           210.5 unnamed
         204.48         198.232           212.5 unnamed
         207.32         200.504             216 unnamed
        203.344         197.664           213.5 unnamed
        189.712         165.288           169.5 unnamed
        194.824         164.152           184.5 unnamed
        193.688          164.72           193.5 unnamed
        197.664          161.88           187.5 unnamed
        193.688         165.856             194 unnamed
        192.552          161.88           203.5 unnamed
        203.912         155.632             186 unnamed
        209.592          153.36             189 unnamed
        220.384          139.16             210 unnamed
        212.432         152.224           187.5 unnamed
        229.472          144.84           200.5 unnamed
        230.608         143.136             202 unnamed
        231.176         144.272           199.5 unnamed
        200.504         173.808           163.5 unnamed
        211.296         171.536             168 unnamed
        216.976         168.696             169 unnamed
        215.272          173.24           168.5 unnamed
        206.752         177.216             162 unnamed
        218.112         192.552           165.5 unnamed
        220.952         180.056           156.5 unnamed
    1    2    1    0   110.257    16.2007    Trachea    206.138    352.321     51.655     67.484
    2    3    2    1   55.3655    11.5258        LMB    104.335    174.512    37.6216    47.9557
    2    6    3    1   26.6717    13.3098        RMB    139.134    270.342    44.9963    61.1926
    3    4    4    2   13.0542    8.60091        LUL    58.1003    116.632    27.4368    38.5731
    3    5    5    2   13.6965    8.36185       LLB6    54.9155    113.165    26.8079    38.0972
    4    7    6    3   12.2438    6.06093          -    28.8515    69.0406    19.4622    29.7343
    4    8    7    3   17.2932    6.11965      LB4+5    29.4133    68.0141    19.8868    29.6968
    5  253    8    3   6.82079    6.74308        LB6    35.7114    78.0365    21.5272    31.5638
    5    9    9    3   14.4993     6.9296        LLB    37.7143    78.6046    22.2615    31.7843
    6   10   10    2   29.6917    10.2042    BronInt    81.7806    144.212    34.9521    44.9001
    6   17   11    2   16.7835    8.04295        RUL    50.8066    103.678    27.9525    38.2164
    7   11   12    3   12.2081    4.82879        LB3    18.3133    48.2181    15.3254    24.7213
    7   12   13    3   2.89113    6.40621      LB1+2    32.2324    77.3023    23.0589    33.8901
    8   13   14    4     5.813    4.92162        LB4    19.0242    47.2563    16.6201    25.2912
    8   23   15    4   15.5989    3.80809        LB5    11.3895    36.0773      12.62    21.7017
  253  269   16    4   7.81111     3.3398      lb6_b    8.76056    27.9948    10.8638    18.9772
  253  254   17    4   2.63625      6.032      lb6_a    28.5767    63.2827    21.0377    30.1025
    9  307   18    4   17.7022     4.0383          -    12.8082     34.077    15.1676     22.525
    9   14   19    4   9.28718      6.575          -    33.9533     74.951    21.5229     31.333
   10   15   20    3   5.98806     9.5128          -    71.0733    128.447    30.8116    40.8893
   10   16   21    3    19.595    6.35667      RB4+5    31.7358    72.5562    21.0698    31.0423
   11   18   22    4    8.0256    3.48964      lb3_a    9.56427    26.4128    12.1557    19.0552
   11   19   23    4   9.10741    3.79479      lb3_b    11.3101    34.4755    12.8634     21.403
   12   20   24    4   17.0036    3.99164        LB1    12.5139    33.8513    13.7312    21.7021
   12  135   25    4   15.4531    3.33006        LB2     8.7095    31.1973    11.0027    20.1425
   13   21   26    5    10.032    3.21982      lb4_a    8.14242    25.9165    10.3313    18.2562
   13   22   27    5   20.7964    2.94838      lb4_b    6.82743    20.7021    9.88235    16.5372
  254  255   28    5   9.10815     3.2935          -    8.51934    28.9852    11.0105    19.6755
  254  256   29    5   9.51904    2.91078          -    6.65439    23.6004    9.47002    17.4235
   14  320   30    5   10.7973    4.02835          -    12.7451    37.1537    13.7499    22.3758
   14  274   31    5    8.0671    6.29552          -    31.1281    69.7443    20.6273    30.2059
   15  110   32    3   11.7849     7.6587       RLL7    46.0681    93.2756     24.993    34.9223
   15   24   33    3   6.06697    6.94434        RB6     37.875    68.4494    21.8163    29.3285
   16   25   34    4   10.4814    4.46756          -    15.6758    42.9145    14.7117     23.767
   16   26   35    4   9.53242    4.64666        RB5    16.9579    45.7572    14.9118    24.2019
   16   27   36    4   15.3834    3.52218        RB4    9.74343    29.1286    11.3309    19.2945
   17   28   37    3   10.6256     5.6117          -    24.7331    58.4016    17.9848    27.3272
   17  108   38    3   5.24209    5.19915        RB2    21.2302    52.7392    16.9157    26.1396
   19   29   39    5   4.21496     2.7702          -    6.02715     18.372    8.70284    15.1944
   19   30   40    5   28.8942    2.91658          -    6.68095    21.8919    10.7859     17.744
   20  131   41    5   2.95433    3.73439      lb1_a    10.9529    27.7525    12.7494    20.2849
   20   31   42    5   8.38267    3.78468      lb1_b    11.2499    31.3228    13.5951    20.9426
  135  244   43    5   8.49355    2.82163      lb2_b    6.25304    22.1855     9.4786    17.2899
